UCA,Slot,Flags,jsrc,ksrc,unit,mode,lsrc,vari,vao,vaspace,atop,dir,width,sr1ri,sr2ri,sr1wi,sr2wi,sr1wsrc,sr2wsrc,special,seqop,statop,gprw,irw,drw,tiw,allowint,power,next
00FD,0x00F,D,.zero,.zero,.alu,0,.d,.zero,.zero,.raw,.translate,.read,.16b,.one,.zero,.one,.next_ip,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x00E
00FE,0x00F,E,.sr2,.sr1,.alu,18,.alu,.temp_1,8,.raw,.translate,.write_from_l,.32b,.one,.temp_2,.temp_1,.temp_2,.virtual_addr,.l,.block_transfer,.next_uop,.compute,,,,,,,0x00F
00FF,0x00F,F,.zero,.zero,.alu,0,.d,.zero,.zero,.raw,.translate,.read,.16b,.one,.zero,.one,.next_ip,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x00E
0100,0x010,*,.sr1,.vao,.shift,7,.shift,.one,13,.raw,.none,.read,.32b,.one,.zero,.one,.temp_2,.no_write,.l,.none,.next_uop,.compute,,,,,,,0x00F
0110,0x011,*,.zero,.vao,.alu,3,.alu,.one,-8,.raw,.none,.read,.32b,.one,.zero,.temp_1,.zero,.l,.no_write,.none,.next_uop,.hold,,,,,,,0x010
0120,0x012,*,.zero,.sr2,.alu,3,.alu,.temp_1,.three,.raw,.translate,.write_from_l,.32b,.one,.temp_2,.one,.zero,.no_write,.no_write,.none,.next_uop,.hold,,,,,,,0x011
0130,0x013,*,.sr2,.vao,.shift,7,.shift,.one,12,.raw,.none,.read,.32b,.one,.temp_2,.one,.temp_2,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x012
0140,0x014,*,.sr2,.vao,.alu,5,.alu,.one,14,.raw,.none,.read,.32b,.one,.temp_2,.one,.temp_2,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x013
0150,0x015,*,.sr2,.vao,.shift,7,.shift,.one,.four,.raw,.none,.read,.32b,.one,.temp_2,.one,.temp_2,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x014
0160,0x016,*,.zero,.vao,.alu,3,.alu,.one,7,.raw,.none,.read,.32b,.one,.zero,.one,.temp_2,.no_write,.l,.none,.next_uop,.hold,,,,,,,0x015
